,lat,lon,speed,temp,Humidity,datetime
0,23.087331,76.412512,4.0,42.0,,2018-08-21 18:32:07.038629
1,0.615662,2.037667,4.0,42.0,,2018-08-21 18:32:07.038629
2,0.615662,2.037667,4.0,43.0,,2018-08-21 18:32:07.038629
3,0.615662,2.037667,4.0,32.0,,2018-08-21 18:32:07.038629
4,0.615662,2.037667,4.0,34.0,,2018-08-21 18:32:07.038629
5,0.615662,2.037667,4.0,45.0,,2018-08-21 18:32:07.038629
6,0.615662,2.037667,4.0,34.0,,2018-08-21 18:32:07.038629
7,22.79257,2.037667,4.0,34.0,,2018-08-21 18:32:07.038629
8,22.79257,2.037667,4.0,42.0,,2018-08-21 18:32:07.038629
9,22.79257,2.037667,4.0,42.0,,2018-08-21 18:32:07.038629
10,22.79257,76.803217,4.0,42.0,,2018-08-21 18:32:07.038629
11,22.79257,76.803217,4.0,34.0,,2018-08-21 18:32:07.038629
12,22.79257,76.803217,4.0,43.0,,2018-08-21 18:32:56.545622
13,22.79257,76.803217,4.0,45.0,,2018-08-21 18:32:56.545622
14,22.79257,76.803217,4.0,29.0,,2018-08-21 18:32:56.545622
15,22.79257,76.803217,4.0,57.0,,2018-08-21 18:32:56.545622
16,22.79257,76.803217,4.0,42.0,,2018-08-21 18:32:56.545622
17,22.79257,76.803217,4.0,42.0,,2018-08-21 18:32:56.545622
18,22.79257,76.803217,4.0,42.0,,2018-08-21 18:32:56.545622
19,22.79257,76.803217,4.0,42.0,,2018-08-21 18:32:56.545622
20,22.79257,76.803217,4.0,56.0,,2018-08-21 18:32:56.545622
21,22.79257,76.803217,3.0,44.0,,2018-08-21 18:32:56.545622
22,22.79257,76.803217,3.0,42.0,,2018-08-21 18:32:56.545622
23,22.79257,76.803217,3.0,42.0,,2018-08-21 18:32:56.545622
24,22.79257,76.803217,3.0,42.0,,2018-08-21 18:32:56.545622
25,22.79257,76.803217,3.0,42.0,,2018-08-21 18:32:56.545622
26,22.79257,76.803217,3.0,45.0,,2018-08-21 18:32:56.545622
27,22.79257,76.803217,3.0,42.0,,2018-08-21 18:32:56.545622
28,22.79257,76.803217,3.0,42.0,,2018-08-21 18:32:56.545622
29,22.79257,76.803217,3.0,42.0,,2018-08-21 18:32:56.545622
30,22.79257,76.803217,3.0,42.0,,2018-08-21 18:32:56.545622
31,22.79257,76.803217,3.0,42.0,,2018-08-21 18:40:44.310891
32,22.79257,76.803217,3.0,42.0,,2018-08-21 18:40:44.310891
33,22.79257,76.803217,3.0,42.0,,2018-08-21 18:40:44.310891
34,22.79257,76.803217,3.0,42.0,,2018-08-21 18:40:44.310891
35,22.79257,76.803217,3.0,42.0,,2018-08-21 18:42:08.150208
36,22.79257,76.803217,3.0,42.0,,2018-08-21 18:42:08.150208
37,22.79257,76.803217,3.0,42.0,,2018-08-21 18:42:08.150208
38,22.79257,76.803217,3.0,45.0,,2018-08-21 18:42:08.150208
39,22.79257,76.803217,3.0,42.0,,2018-08-21 18:42:08.150208
40,22.79257,76.803217,3.0,42.0,,2018-08-21 18:42:08.150208
41,22.79257,76.803217,0.0,42.0,,2018-08-21 18:43:17.494649
42,22.79257,76.803217,0.0,42.0,,2018-08-21 18:43:17.494649
43,22.79257,76.803217,0.0,42.0,,2018-08-21 18:43:17.494649
44,22.79257,76.803217,0.0,42.0,,2018-08-21 18:43:17.494649
45,22.79257,76.803217,5.0,42.0,,2018-08-21 19:09:56.670642
46,22.79257,76.803217,0.0,42.0,,2018-08-21 19:09:56.670642
47,22.79257,76.803217,0.0,34.0,,2018-08-21 19:09:56.670642
48,22.79257,76.803217,0.0,42.0,,2018-08-21 19:09:56.670642
49,22.79257,76.803217,0.0,42.0,,2018-08-21 19:09:56.670642
50,22.79257,76.803217,4.0,42.0,,2018-08-21 19:09:56.670642
51,22.79257,76.803217,0.0,42.0,,2018-08-21 19:09:56.670642
52,22.79257,76.803217,0.0,42.0,,2018-08-21 19:13:07.733546
53,22.79257,76.803217,0.0,42.0,,2018-08-21 19:13:07.733546
54,22.79257,76.803217,0.0,42.0,,2018-08-21 19:13:07.733546
55,22.79257,76.803217,0.0,42.0,,2018-08-21 19:16:37.028154
56,22.79257,76.803217,0.0,42.0,,2018-08-21 19:16:39.299383
57,22.79257,76.803217,4.0,42.0,,2018-08-21 19:16:41.555209
58,22.79257,76.803217,0.0,42.0,,2018-08-21 19:16:43.823536
59,22.79257,76.803217,0.0,56.0,,2018-08-21 19:16:46.088954
60,22.79257,76.803217,0.0,42.0,,2018-08-21 19:19:16.914260
61,22.79257,76.803217,0.0,42.0,,2018-08-21 19:19:19.235227
62,22.79257,76.803217,0.0,42.0,,2018-08-21 19:19:21.491499
63,22.79257,76.803217,5.0,42.0,,2018-08-21 19:20:13.913742
64,22.79257,76.803217,0.0,42.0,,2018-08-21 23:43:47.835495
65,22.79257,76.803217,0.0,42.0,,2018-08-21 23:43:50.179134
66,22.79257,76.803217,0.0,42.0,,2018-08-21 23:43:54.492262
67,22.79257,76.803217,0.0,42.0,,2018-08-21 23:43:56.856349
68,22.79257,76.803217,3.0,42.0,,2018-08-21 23:43:59.250101
69,22.79257,76.803217,0.0,43.0,,2018-08-21 23:44:01.509238
70,22.79257,76.803217,0.0,42.0,,2018-08-22 00:29:01.976538
71,22.79257,76.803217,0.0,42.0,,2018-08-22 00:29:04.708231
72,22.79257,76.803217,0.0,42.0,,2018-08-22 00:29:07.249417
73,22.79257,76.803217,0.0,42.0,,2018-08-22 00:29:09.665696
74,22.79257,76.803217,0.0,42.0,,2018-08-22 00:29:11.948497
75,22.79257,76.803217,0.0,42.0,,2018-08-22 00:29:16.417043
76,22.79257,76.803217,0.0,42.0,,2018-08-22 00:29:18.657433
77,22.79257,76.803217,3.0,42.0,,2018-08-22 00:29:20.963436
78,22.79257,76.803217,4.0,54.0,,2018-08-22 00:30:15.837206
79,22.79257,76.803217,0.0,42.0,,2018-08-22 00:30:18.330512
80,22.79257,76.803217,0.0,43.0,,2018-08-22 00:30:20.742739
81,22.79257,76.803217,0.0,42.0,,2018-08-22 00:30:23.159369
82,22.79257,76.803217,0.0,42.0,,2018-08-22 00:30:27.581074
83,22.79257,76.803217,1.0,42.0,,2018-08-22 00:38:33.844144
84,22.79257,76.803217,3.0,54.0,,2018-08-22 00:38:38.570208
85,22.79257,76.803217,7.0,42.0,,2018-08-22 00:38:40.824153
